browser,chromium,chromium,webkit,webkit,firefox,firefox
.ice,True,True,False,False,True,True
.ico,False,True,False,True,True,True
.ics,False,False,False,False,True,True
.ida,True,True,True,True,True,True
.idq,True,True,True,True,True,True
.idx,True,True,True,True,True,True
.ihtml,True,True,True,True,True,True
.image,True,True,True,True,True,True
.images,True,True,True,True,True,True
.img,True,True,False,False,True,True
.implode,True,True,True,True,True,True
.inc,True,True,True,True,True,True
.include,True,True,True,True,True,True
.includes,True,True,True,True,True,True
.index,True,True,True,True,True,True
.inf,True,True,True,True,True,True
.info,True,True,True,True,True,True
.ini,True,True,True,True,True,True
.iso,True,True,False,False,True,True
.it,True,True,True,True,True,True
.j,True,True,True,True,True,True
.jad,True,True,True,True,True,True
.jar,True,True,False,False,True,True
.java,True,True,True,True,True,True
.jbf,True,True,True,True,True,True
.jhtml,True,True,True,True,True,True
.jnlp,True,True,False,False,True,True
.jp,True,True,True,True,True,True
.jpe,True,True,False,True,True,True
.jpeg,False,True,False,True,True,True
".jpeg,",True,True,True,True,True,True
.jpg,False,True,False,True,True,True
.js,True,True,True,True,True,True
.js2,True,True,True,True,True,True
.jsf,True,True,True,True,True,True
.json,True,True,True,True,True,True
.jsonld,True,True,True,True,True,True
.jsp,True,True,True,True,True,True
.jspa,True,True,True,True,True,True
.jspf,True,True,True,True,True,True
.jspx,True,True,True,True,True,True
.kml,True,True,True,True,True,True
.kmz,True,True,True,True,True,True
.l,True,True,True,True,True,True
.lasso,True,True,True,True,True,True
.layer,True,True,True,True,True,True
.lbi,True,True,True,True,True,True
.lck,True,True,True,True,True,True
.lib,True,True,True,True,True,True
.lic,True,True,True,True,True,True
.licx,True,True,True,True,True,True
.link,True,True,True,True,True,True
.list,True,True,True,True,True,True
.lnk,True,True,True,True,True,True
.load,True,True,True,True,True,True
.local,True,True,True,True,True,True
.lock,True,True,True,True,True,True
.log,True,True,True,True,True,True
.login,True,True,True,True,True,True
.lst,True,True,True,True,True,True
.m,True,True,True,True,True,True
.m3u,True,True,False,False,True,True
.m4v,True,True,False,False,True,True
.main,True,True,True,True,True,True
.maninfo,True,True,True,True,True,True
.map,True,True,True,True,True,True
.master,True,True,True,True,True,True
.mbox,True,True,True,True,True,True
.mdb,True,True,True,True,True,True
.media,True,True,True,True,True,True
.menu,True,True,True,True,True,True
.mgi,True,True,True,True,True,True
.mhtml,True,True,True,True,True,True
.mi,True,True,True,True,True,True
.mid,True,True,False,False,True,True
".mid,",True,True,True,True,True,True
.midi,True,True,False,False,True,True
.min,True,True,True,True,True,True
.mjs,True,True,True,True,True,True
.mkdir,True,True,True,True,True,True
.mno,True,True,True,True,True,True
.mod,True,True,True,True,True,True
.mov,True,True,False,False,True,True
.mp2,True,True,False,False,True,True
.mp3,True,True,False,False,True,True
.mp4,True,True,False,False,True,True
.mpeg,False,False,False,False,True,True
.mpg,False,False,False,False,True,True
.mpkg,True,True,True,True,True,True
.mpl,True,True,True,True,True,True
.msg,True,True,True,True,True,True
.msi,True,True,True,True,True,True
.mso,True,True,True,True,True,True
.mspx,True,True,True,True,True,True
.mv,True,True,True,True,True,True
.mvc,True,True,True,True,True,True
.mysql,True,True,True,True,True,True
.net,True,True,True,True,True,True
.new,True,True,True,True,True,True
.nl,True,True,True,True,True,True
.nsf,True,True,True,True,True,True
.num,True,True,True,True,True,True
.o,True,True,True,True,True,True
.ocx,True,True,True,True,True,True
.odp,True,True,False,False,True,True
.ods,True,True,False,False,True,True
.odt,True,True,False,False,True,True
.off,True,True,True,True,True,True
.oga,True,True,True,True,True,True
.ogg,True,True,True,True,True,True
.ogv,True,True,True,True,True,True
.ogx,True,True,True,True,True,True
.old,True,True,True,True,True,True
.old2,True,True,True,True,True,True
.opendir,True,True,True,True,True,True
